rollout,samples,topk,cem_steps,mean_inference_latency_ms,std_inference_latency_ms,mean_rep_l1_error,std_rep_l1_error,mean_pose_error_m,std_pose_error_m
1,5,5,5,312.23642935068347,1560.4637786291394,0.4418754245042801,0.028944712179867257,0.030906542289070783,0.015782063333737543
1,5,5,10,326.30154802650213,4.054624167810198,0.4417255392074585,0.028752273883222913,0.033279886500909926,0.01612642192668684
1,5,5,15,439.25898535898887,3.1036991759916535,0.4418885735273361,0.02894536994198473,0.03331308564916253,0.01518729978442101
1,5,5,20,550.4368661229964,3.0197760485862775,0.44187075734138487,0.0288930484378273,0.03307820196449757,0.015902467760372664
1,10,5,5,309.81407206784934,2.019541258121465,0.44107924282550814,0.02855438485202708,0.047505502991378304,0.01637963709862568
1,10,5,10,509.48170401644893,2.8560263694009103,0.4410601069927216,0.02855127258338124,0.05076313405483961,0.017038736069202035
1,10,5,15,708.6588288927451,1.7971697602026158,0.4409941244125366,0.02854780778077564,0.05339231849089265,0.016434762452357175
1,10,5,20,907.8237190085929,1.98844274094155,0.44096231436729433,0.028550084697020587,0.05455807766318321,0.015011493737700434
1,10,10,5,309.52736375806853,2.105956689502346,0.4420000312328339,0.029009542442763117,0.02445245124027133,0.014838961945843856
1,10,10,10,509.22948810481466,1.3362542235465453,0.44177476036548613,0.028795519956830728,0.02551041008718312,0.014329296846987657
1,10,10,15,708.6113442166243,2.767456943336457,0.441924178481102,0.028842901393883742,0.025910168007016184,0.014110385427308792
1,10,10,20,908.345675550634,4.207218417787057,0.4417281537055969,0.028889051131074844,0.026876922369003294,0.014865751777535173
1,15,5,5,400.96647240640596,1.4952870951038804,0.44096706902980803,0.028486482318538075,0.05341279128938913,0.01713924489818643
1,15,5,10,693.1141537150834,1.3061219858092028,0.440879620552063,0.028483706062684012,0.05612071849778295,0.016571742629659773
1,15,5,15,984.9033116209321,1.1484594993032755,0.4407962861061096,0.028469496139890943,0.05580385368317366,0.016167556286746872
1,15,5,20,1276.6784364520572,3.4656527266079618,0.4407327103614807,0.02849958427554739,0.0560235515832901,0.015541806311226675
1,15,10,5,401.5075035111513,1.0980071044861317,0.4413220890760422,0.028746295267443586,0.03799650352820754,0.0158589357492631
1,15,10,10,693.667406603694,2.1321707582967098,0.4412020055055618,0.028611778165016647,0.044229825591668485,0.016107974676941146
1,15,10,15,985.5194397822488,1.8084697247776416,0.4411703232526779,0.028549591979659887,0.04540081558190286,0.015870121013148403
1,15,10,20,1276.5849567807745,1.1734761601261428,0.441136777639389,0.028561481107273388,0.046643522910773755,0.015394864465290285
1,20,5,5,492.15891415951774,1.330269285212338,0.44085315334796904,0.028554983679646616,0.05368396018072963,0.0174637353343267
1,20,5,10,873.3817461053841,2.3094636598573217,0.44074519217014313,0.02848036156203185,0.05772493874654174,0.016912482160743435
1,20,5,15,1255.5818846831098,2.2692353130572065,0.4407049481868744,0.02850614911313029,0.056834208451211454,0.016139974486314216
1,20,5,20,1637.399083641125,2.4131487963243794,0.4406562386751175,0.028471064988684916,0.05711769381910563,0.015969938402962135
1,20,10,5,492.14035589993,1.8337632769349417,0.44109780979156493,0.02853947169225251,0.04474555391632021,0.016720401693186674
1,20,10,10,873.6382375799585,2.652519900258908,0.44101584029197693,0.02855647825613608,0.05189331600815058,0.015764971653692575
1,20,10,15,1255.9937448247802,1.3785380796054063,0.44096569752693177,0.028565562890985052,0.0533381861820817,0.014939231931175603
1,20,10,20,1638.2141229540575,1.7454190147274844,0.44089468896389006,0.028524298339860917,0.05292115078121424,0.015820925989787047
2,5,5,5,563.7357996657956,1753.3187322793005,0.44561852610111236,0.02513473186182442,0.042853449866175654,0.019680730389722647
2,5,5,10,786.5908514161129,3.57578482185955,0.4457838646173477,0.025273768196739915,0.04313762323372066,0.01927977876716884
2,5,5,15,1118.42274516006,2.338081849276053,0.4457352523803711,0.025391990905635795,0.043830637328326705,0.018526413711150665
2,5,5,20,1450.007760039065,3.8325061590364626,0.4458244595527649,0.025492547688132267,0.045783531436696646,0.020809201288652573
2,10,5,5,747.0247001294047,3.5984168495735203,0.44460187733173373,0.025011660453464382,0.06053167441114783,0.021089737558572474
2,10,5,10,1371.207366920542,2.107087486546552,0.4444049558639526,0.024902489677330077,0.06938452996313572,0.021802942764705045
2,10,5,15,1996.304409131175,4.179729540382891,0.44433126616477964,0.024838921785462008,0.07215762251615525,0.02252410904053457
2,10,5,20,2619.8347466883715,2.5167440848712515,0.44422310149669647,0.024844080137938807,0.07361038038879633,0.022527006845490673
2,10,10,5,747.1916424550582,3.36577766401538,0.44555891942977904,0.025344769822824114,0.0315198028832674,0.016928862844716206
2,10,10,10,1371.9424813452642,3.052521916152026,0.4455063432455063,0.025306553474691424,0.032800741804763674,0.014894355319286193
2,10,10,15,1996.845639632782,2.2649208719212424,0.4457695596218109,0.025497811475503278,0.03219710209593177,0.016436560834777143
2,10,10,20,2642.316101456061,209.660324855979,0.44559320890903475,0.025338663073143558,0.03428735527954996,0.018423756707594458
2,15,5,5,1037.020439434331,3.10028865509686,0.4442999148368835,0.02483742591056933,0.07037023387104273,0.02335345000968968
2,15,5,10,1951.0657540904358,3.2585075668220154,0.44408094775676726,0.024909557523843863,0.07644465565308929,0.023696398979189556
2,15,5,15,2864.225455995649,3.070324205199593,0.44396472096443174,0.02473612670311521,0.07855901206284761,0.024631569960403145
2,15,5,20,3780.622063960647,3.3221850987331965,0.4438495316505432,0.02480680852668114,0.07734960434213281,0.025334737848467265
2,15,10,5,1037.861502737971,3.6078415433013715,0.4447109446525574,0.024874082745449447,0.04770626692473889,0.020947178790237855
2,15,10,10,1950.4871353828348,2.100477653137747,0.44462652325630186,0.02491538079049076,0.05435630056262016,0.019237899141019168
2,15,10,15,2864.3302146887872,2.717354574948296,0.4445642976760864,0.024784809295251977,0.059687197983264925,0.019560475330745723
2,15,10,20,3778.8806328121573,2.387155955793345,0.44449230694770814,0.02483383304130454,0.06204115236923099,0.0180643451325496
2,20,5,5,1341.475208634045,1.87710357460829,0.44409932661056517,0.024705726383678676,0.07255656499415636,0.02345407271733161
2,20,5,10,2560.438425145112,3.123969350039123,0.44388859236240386,0.024795516937548636,0.07909698848426341,0.023444042454129305
2,20,5,15,3779.484406713629,3.812374264558879,0.44380389726161956,0.02475457397975127,0.0795176867172122,0.026098145741129546
2,20,5,20,5009.688879320165,20.14158756040766,0.4435909553766251,0.024720669089090225,0.07668913980387151,0.02696780189749761
2,20,10,5,1366.4413920307998,52.31409949875171,0.4445239247083664,0.024902926215586714,0.05882891288027167,0.01828713068358732
2,20,10,10,2639.6461367702577,92.92510622111472,0.4443759047985077,0.02487172373439022,0.0674736680239439,0.020609423451092578
2,20,10,15,3780.254349642666,2.266421733494694,0.4442390683889389,0.02490883227301951,0.07201648550480604,0.02000364087478787
2,20,10,20,4999.406935865292,4.253321909175006,0.44412131452560427,0.02473399594638937,0.07227331582084298,0.0204396321432082
3,5,5,5,821.8801705606747,2.3872637502695,0.44964279544353486,0.024026415392714443,0.04795944724231958,0.021475027991048234
3,5,5,10,1505.5108673523646,2.739662406633703,0.44980259442329407,0.023850092959148392,0.05183639820292592,0.024372158007797195
3,5,5,15,2189.105575636495,1.940999485690097,0.4499098368883133,0.023765073556134716,0.05269598045200109,0.023300688301610178
3,5,5,20,2872.555915706558,3.4554444806752778,0.4497440366744995,0.023749943196022413,0.05238970151916146,0.02352195500436553
3,10,5,5,1437.9570171383675,3.624910427318407,0.4480296086072922,0.023059604429645,0.07611460337787866,0.026072140674220375
3,10,5,10,2736.5022022831254,2.075340791973008,0.44782859706878664,0.022931692098617104,0.08573118617758155,0.026651099085033717
3,10,5,15,4034.5314717704896,3.8637529762938785,0.44764736700057983,0.023117550071481117,0.09006004998832941,0.02746891417107255
3,10,5,20,5333.900173240108,3.9876210591368237,0.44761697244644166,0.02305047908688702,0.09253600082919002,0.029688234148338037
3,10,10,5,1437.7675926899537,2.372819145596442,0.44963831532001497,0.023799921084399153,0.03780016969423741,0.016466495147975074
3,10,10,10,2734.7833544197492,3.6907696091077367,0.44943594813346865,0.023393458516336244,0.0392279749000445,0.020238029316056227
3,10,10,15,4034.9101828802377,3.005449242187577,0.44981581771373746,0.023998207386865335,0.038638153186999265,0.01707057582619512
3,10,10,20,5334.8052847937215,3.4502710755544252,0.4496963014602661,0.023893887141728756,0.04066931761056185,0.01955101877986239
3,15,5,5,2068.8668436966836,1.5591063516019492,0.44766431415081026,0.02307908024130962,0.0891811718866229,0.028243541249962822
3,15,5,10,3999.523362488253,2.791071650352218,0.4473956241607666,0.022991963303379492,0.09761369402706623,0.03125489881421425
3,15,5,15,5928.1493733320385,3.067526532540481,0.4472467542886734,0.022864789490561484,0.09914589762687682,0.029435795749681942
3,15,5,20,7857.154925434152,3.2103705695598563,0.4471500347852707,0.022987291782092963,0.10097013607621193,0.029757347982681294
3,15,10,5,2068.5140924332663,3.5819520513388508,0.4481784191131592,0.023090475787753754,0.05816956869512797,0.02011231587994726
3,15,10,10,3997.9350788420998,3.6854193380928337,0.44794518983364107,0.023091503859256523,0.06796273589506745,0.022210024385107212
3,15,10,15,5927.2529999169055,4.161702646475881,0.4479639115333557,0.02313041285485396,0.07242273855209351,0.0222299395035331
3,15,10,20,7856.9666534815915,4.312466822798328,0.44785178983211515,0.023017756697267508,0.07679439216852188,0.02128136423676699
3,20,5,5,2697.274835737422,3.108304477132368,0.44752961122989654,0.023017295094370865,0.09191261219233274,0.02884152631677358
3,20,5,10,5253.883378337836,2.616913668245591,0.4472307564020157,0.02293519553876655,0.10335327334702014,0.032283257059336816
3,20,5,15,7811.565391959157,4.4224114498348985,0.44709239912033083,0.02304880159049925,0.10084718780964613,0.031849503869643005
3,20,5,20,10368.415659724036,5.072538007565063,0.4469311765432358,0.02294589794835506,0.10196425539255143,0.0362734720244088
3,20,10,5,2696.483308349503,4.32287720782145,0.44797062170505525,0.023244695302126323,0.07329803044348955,0.02031042561541986
3,20,10,10,5251.695003567496,3.101549672762254,0.4477032028436661,0.023134629969308106,0.0846290212124586,0.023604693787545095
3,20,10,15,7809.694279531948,4.712862216625523,0.4475707303285599,0.02299883203060468,0.09038339799270034,0.02415783209983157
3,20,10,20,10366.37961078249,4.553067963345848,0.4474604375362396,0.023167323819611663,0.0933247596397996,0.02382048680074221
